Subject ID: 2
Sat Jun 29 12:08:35 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, Fa, xdes, vdes, cmd, LSB, LSF
3361376, 540593407, 192.517, 192.517, 0.000, 2.491, 0.000, -4.668, -5.151, 0.000, 192.383, -3.085, 2.500, 0, 1 
3361376, 541598843, 192.517, 192.517, 0.000, 2.553, 0.000, -4.791, -5.592, 0.000, 192.380, -3.087, 2.500, 0, 1 
3361376, 542603220, 192.517, 192.517, 0.000, 2.613, 0.000, -4.772, -4.867, 0.000, 192.377, -3.089, 2.500, 0, 1 
3361376, 543643915, 192.517, 192.517, 0.000, 2.674, 0.000, -4.839, -4.142, 0.000, 192.374, -3.091, 2.500, 0, 1 
3361376, 544657468, 192.517, 192.517, 0.000, 2.735, 0.000, -4.864, -4.425, 0.000, 192.371, -3.093, 2.500, 0, 1 
3361376, 545662279, 192.517, 192.517, 0.000, 2.796, 0.000, -4.842, -4.741, 0.000, 192.368, -3.095, 2.500, 0, 1 
3361376, 546669662, 192.517, 192.517, 0.000, 2.854, 0.000, -4.776, -3.795, 0.000, 192.364, -3.097, 2.500, 0, 1 
3361376, 547674664, 192.517, 192.517, 0.000, 2.914, 0.000, -4.848, -4.709, 0.000, 192.361, -3.099, 2.500, 0, 1 
3361376, 548681999, 192.517, 192.517, 0.000, 2.972, 0.000, -4.769, -4.552, 0.000, 192.358, -3.101, 2.500, 0, 1 
3361376, 549688496, 192.517, 192.517, 0.000, 3.028, 0.000, -4.678, -4.236, 0.000, 192.355, -3.103, 2.500, 0, 1 
3361376, 550694744, 192.517, 192.517, 0.000, 3.083, 0.000, -4.697, -4.993, 0.000, 192.352, -3.105, 2.500, 0, 1 
3361376, 551700900, 192.517, 192.517, 0.000, 3.136, 0.000, -4.583, -4.772, 0.000, 192.349, -3.107, 2.500, 0, 1 
3361376, 552728772, 192.517, 192.517, 0.000, 3.186, 0.000, -4.435, -3.889, 0.000, 192.346, -3.109, 2.500, 0, 1 
3361376, 553735487, 192.517, 192.517, 0.000, 3.235, 0.000, -4.435, -3.984, 0.000, 192.343, -3.111, 2.500, 0, 1 
3361376, 554745035, 192.517, 192.517, 0.000, 3.286, 0.000, -4.504, -4.930, 0.000, 192.340, -3.113, 2.500, 0, 1 
3361376, 555753813, 192.517, 192.517, 0.000, 3.334, 0.000, -4.391, -4.236, 0.000, 192.337, -3.115, 2.500, 0, 1 
3361376, 556783267, 192.517, 192.517, 0.000, 3.382, 0.000, -4.457, -4.709, 0.000, 192.333, -3.117, 2.500, 0, 1 
