Subject ID: 0
Tue Jun 25 11:07:39 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, Fa, xdes, vdes, cmd, LSB, LSF
3012032, 704289925, 248.627, 248.750, 0.000, -0.430, 0.000, -0.099, 0.557, 0.000, 248.493, -3.066, 2.500, 0, 1 
3012032, 705332712, 248.627, 248.752, 0.000, -0.436, 0.000, -0.317, -0.232, 0.000, 248.490, -3.067, 2.500, 0, 1 
3012032, 706375556, 248.627, 248.755, 0.000, -0.441, 0.000, -0.317, -1.021, 0.000, 248.487, -3.069, 2.500, 0, 1 
3012032, 707381778, 248.627, 248.758, 0.000, -0.448, 0.000, -0.273, 0.084, 0.000, 248.484, -3.070, 2.500, 0, 1 
3012032, 708388362, 248.627, 248.760, 0.000, -0.452, 0.000, -0.396, -0.453, 0.000, 248.481, -3.072, 2.500, 0, 1 
3012032, 709394416, 248.627, 248.763, 0.000, -0.458, 0.000, -0.289, -0.390, 0.000, 248.478, -3.073, 2.500, 0, 1 
3012032, 710402160, 248.627, 248.766, 0.000, -0.466, 0.000, -0.191, -0.200, 0.000, 248.475, -3.075, 2.500, 0, 1 
3012032, 711407861, 248.627, 248.768, 0.000, -0.474, 0.000, -0.178, 0.210, 0.000, 248.472, -3.076, 2.500, 0, 1 
3012032, 712455277, 248.627, 248.771, 0.000, -0.481, 0.000, -0.286, -0.200, 0.000, 248.469, -3.078, 2.500, 0, 1 
3012032, 713502653, 248.627, 248.773, 0.000, -0.488, 0.000, -0.232, -0.390, 0.000, 248.465, -3.079, 2.500, 0, 1 
3012032, 714546213, 248.627, 248.776, 0.000, -0.495, 0.000, -0.232, -0.674, 0.000, 248.462, -3.081, 2.500, 0, 1 
3012032, 715592651, 248.627, 248.779, 0.000, -0.501, 0.000, -0.308, -0.484, 0.000, 248.459, -3.083, 2.500, 0, 1 
3012032, 716599892, 248.627, 248.781, 0.000, -0.505, 0.000, -0.377, -0.737, 0.000, 248.456, -3.084, 2.500, 0, 1 
3012032, 717605741, 248.627, 248.784, 0.000, -0.511, 0.000, -0.298, -0.484, 0.000, 248.453, -3.086, 2.500, 0, 1 
3012032, 718641031, 248.627, 248.786, 0.000, -0.516, 0.000, -0.345, -0.137, 0.000, 248.450, -3.087, 2.500, 0, 1 
3012032, 719723695, 248.627, 248.789, 0.000, -0.522, 0.000, -0.304, 0.304, 0.000, 248.447, -3.089, 2.190, 0, 1 
3012032, 721072224, 248.627, 248.791, 0.000, -0.528, 0.000, -0.304, 0.052, 0.000, 248.444, -3.090, 2.500, 0, 1 
3012032, 722105040, 248.627, 248.794, 0.000, -0.536, 0.000, -0.188, 0.715, 0.000, 248.441, -3.092, 2.500, 0, 1 
3012032, 723110298, 248.627, 248.797, 0.000, -0.544, 0.000, -0.226, 0.494, 0.000, 248.438, -3.093, 2.500, 0, 1 
3012032, 724115383, 248.627, 248.799, 0.000, -0.550, 0.000, -0.289, -1.052, 0.000, 248.435, -3.095, 2.500, 0, 1 
3012032, 725121933, 248.627, 248.802, 0.000, -0.561, 0.000, -0.058, 0.368, 0.000, 248.431, -3.097, 2.500, 0, 1 
3012032, 726151511, 248.628, 248.804, 0.112, -0.571, 1.117, -0.099, 0.336, 0.000, 248.428, -3.098, 2.500, 0, 1 
3012032, 727186064, 248.628, 248.807, 0.000, -0.582, 0.000, -0.039, 0.084, 0.000, 248.425, -3.100, 2.500, 0, 1 
3012032, 728190804, 248.628, 248.809, 0.112, -0.594, 0.000, -0.024, -0.831, 0.000, 248.422, -3.101, 2.500, 0, 1 
3012032, 729235202, 248.628, 248.812, 0.112, -0.606, 0.000, 0.039, -0.768, 0.000, 248.419, -3.103, 2.190, 0, 1 
3012032, 730276988, 248.628, 248.814, 0.112, -0.619, 0.000, 0.039, -0.074, 0.000, 248.416, -3.104, 2.500, 0, 0 
3012032, 731314882, 248.628, 248.817, 0.112, -0.631, 0.000, -0.027, 0.336, 0.000, 248.413, -3.106, 2.500, 0, 1 
3012032, 732359317, 248.628, 248.819, 0.112, -0.645, 0.000, 0.137, 2.103, 0.000, 248.410, -3.107, 2.500, 0, 1 
3012032, 733366736, 248.628, 248.822, 0.112, -0.654, 0.000, -0.137, -0.263, 0.000, 248.407, -3.109, 2.500, 0, 1 
3012032, 734403527, 248.628, 248.824, 0.112, -0.666, 0.000, -0.014, -0.642, 0.000, 248.404, -3.111, 2.500, 0, 1 
3012032, 735439690, 248.629, 248.826, 0.223, -0.679, 1.110, 0.036, -0.926, 0.000, 248.400, -3.112, 2.500, 0, 1 
3012032, 736489235, 248.629, 248.829, 0.112, -0.693, 0.000, 0.109, 0.809, 0.000, 248.397, -3.114, 2.500, 0, 1 
3012032, 737495905, 248.629, 248.831, 0.111, -0.702, 0.000, -0.144, -0.453, 0.000, 248.394, -3.115, 2.500, 0, 1 
3012032, 738505062, 248.629, 248.834, 0.111, -0.713, 0.000, -0.017, 0.084, 0.000, 248.391, -3.117, 2.500, 0, 1 
3012032, 739513261, 248.629, 248.836, 0.111, -0.724, 0.000, -0.055, -0.674, 0.000, 248.388, -3.118, 2.500, 0, 0 
3012032, 740523717, 248.629, 248.839, 0.111, -0.732, 0.000, -0.159, -2.566, 0.000, 248.385, -3.120, 2.500, 0, 1 
3012032, 741533731, 248.629, 248.841, 0.111, -0.745, 0.000, 0.036, -0.011, 0.000, 248.382, -3.122, 2.500, 0, 1 
3012032, 742542840, 248.629, 248.843, 0.111, -0.753, 0.000, -0.178, 0.746, 0.000, 248.379, -3.123, 2.500, 0, 1 
3012032, 743577464, 248.629, 248.846, 0.111, -0.755, 0.000, -0.516, -0.516, 0.000, 248.375, -3.125, 2.500, 0, 1 
3012032, 744586700, 248.629, 248.848, 0.111, -0.761, 0.000, -0.282, 0.809, 0.000, 248.372, -3.126, 2.500, 0, 1 
3012032, 745594306, 248.629, 248.850, 0.111, -0.763, 0.000, -0.478, -1.273, 0.000, 248.369, -3.128, 2.500, 0, 1 
3012032, 746604263, 248.629, 248.853, 0.000, -0.771, 0.000, -0.207, -0.295, 0.000, 248.366, -3.129, 2.500, 0, 1 
