Thu Jan 24 12:05:43 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
267436, 282140416, 0.000, 0.001, 0.000, 1.970, 0.000, 0.012, 0.119, 200.000, 0.000, 2.434, 0, 0 
267436, 283458481, 0.000, 0.004, 0.000, 3.883, 0.000, 0.051, 0.512, 200.000, 0.000, 2.438, 0, 0 
267436, 284858204, 0.000, 0.009, 0.000, 5.739, 0.000, 0.017, 0.051, 200.000, 0.000, 2.442, 0, 0 
267436, 286327282, 0.000, 0.015, 0.000, 7.540, 0.000, 0.063, -0.003, 200.000, 0.000, 2.445, 0, 0 
267436, 287826258, 0.001, 0.024, 0.077, 9.288, 0.767, 0.100, 0.322, 200.000, 0.000, 2.449, 0, 0 
267436, 289323137, 0.001, 0.034, 0.000, 10.984, 0.000, 0.076, 0.078, 200.000, 0.000, 2.452, 0, 0 
267436, 290815941, 0.002, 0.046, 0.154, 12.630, 0.770, 0.089, -0.112, 200.000, 0.000, 2.455, 0, 0 
267436, 292082376, 0.002, 0.059, 0.077, 14.228, 0.000, 0.093, -0.153, 200.000, 0.000, 2.459, 0, 0 
267436, 293229474, 0.003, 0.074, 0.254, 15.778, 1.003, 0.095, -0.017, 200.000, 0.000, 2.461, 0, 0 
267436, 294352625, 0.003, 0.091, 0.154, 17.282, 0.000, 0.048, -0.329, 200.000, 0.000, 2.465, 0, 0 
267436, 295487228, 0.005, 0.109, 0.355, 18.741, 1.014, 0.054, -0.261, 200.000, 0.000, 2.467, 1, 0 
267436, 296985657, 0.006, 0.128, 0.331, 20.156, 0.767, 0.041, 0.064, 200.000, 0.000, 2.470, 1, 0 
267436, 298180145, 0.008, 0.149, 0.548, 21.529, 1.926, -0.081, -0.383, 200.000, 0.000, 2.473, 1, 0 
267436, 299644838, 0.009, 0.171, 0.511, 22.860, 0.785, -0.096, -0.546, 200.000, 0.000, 2.476, 1, 0 
267436, 300742384, 0.010, 0.195, 0.729, 24.152, 1.048, -0.131, -0.519, 200.000, 0.000, 2.478, 1, 0 
267436, 301835803, 0.011, 0.220, 0.732, 25.405, 1.052, -0.168, -0.017, 200.000, 0.000, 2.480, 1, 0 
267436, 302934797, 0.013, 0.246, 0.836, 26.619, 1.046, -0.243, -0.180, 200.000, 0.000, 2.483, 1, 0 
267436, 304032981, 0.015, 0.273, 0.969, 27.798, 2.094, -0.235, -0.193, 200.000, 0.000, 2.485, 1, 0 
267436, 305124868, 0.016, 0.301, 0.969, 28.942, 1.053, -0.254, -0.356, 200.000, 0.000, 2.487, 1, 0 
267436, 306204599, 0.018, 0.331, 1.186, 30.051, 2.130, -0.276, -0.397, 200.000, 0.000, 2.489, 1, 0 
267436, 307213816, 0.021, 0.361, 1.306, 31.127, 2.279, -0.272, -0.329, 200.000, 0.000, 2.491, 1, 0 
267436, 308243607, 0.022, 0.393, 1.302, 32.171, 1.117, -0.288, -0.356, 200.000, 0.000, 2.494, 1, 0 
267436, 309273821, 0.024, 0.426, 1.565, 33.183, 2.233, -0.328, -0.356, 200.000, 0.000, 2.495, 1, 0 
267436, 310303862, 0.026, 0.459, 1.484, 34.165, 2.233, -0.341, -0.519, 200.000, 0.000, 2.498, 1, 0 
267436, 311339847, 0.029, 0.494, 1.627, 35.118, 2.220, -0.305, -0.343, 200.000, 0.000, 2.499, 1, 0 
267436, 312376368, 0.032, 0.529, 1.857, 36.042, 3.328, -0.298, -0.275, 200.000, 0.000, 2.501, 1, 0 
267436, 313381893, 0.035, 0.566, 1.869, 36.939, 2.287, -0.302, 0.010, 200.000, 0.000, 2.503, 1, 0 
267436, 314412099, 0.037, 0.603, 2.092, 37.808, 2.233, -0.345, -0.329, 200.000, 0.000, 2.504, 1, 0 
267436, 315444443, 0.039, 0.642, 2.111, 38.652, 2.228, -0.336, -0.437, 200.000, 0.000, 2.506, 1, 0 
267436, 316470808, 0.043, 0.681, 2.342, 39.470, 3.361, -0.309, -0.193, 200.000, 0.000, 2.507, 1, 0 
267436, 317577277, 0.046, 0.720, 2.328, 40.263, 3.118, -0.356, -0.627, 200.000, 0.000, 2.509, 1, 0 
267436, 318673053, 0.049, 0.761, 2.439, 41.033, 3.148, -0.329, -0.492, 200.000, 0.000, 2.511, 1, 0 
267436, 319771426, 0.053, 0.803, 2.638, 41.780, 3.141, -0.349, -0.424, 200.000, 0.000, 2.512, 1, 0 
267436, 320866370, 0.058, 0.845, 2.836, 42.504, 4.201, -0.356, -0.356, 200.000, 0.000, 2.513, 1, 0 
267436, 321966351, 0.061, 0.888, 2.820, 43.206, 3.136, -0.336, -0.248, 200.000, 0.000, 2.515, 1, 0 
267436, 323069299, 0.066, 0.931, 3.122, 43.887, 4.171, -0.343, -0.302, 200.000, 0.000, 2.516, 1, 0 
267436, 324175009, 0.069, 0.975, 2.997, 44.547, 3.120, -0.343, -0.329, 200.000, 0.000, 2.518, 1, 0 
267436, 325265219, 0.074, 1.020, 3.296, 45.188, 4.219, -0.381, -0.397, 200.000, 0.000, 2.519, 1, 0 
267436, 326378266, 0.078, 1.066, 3.376, 45.808, 4.133, -0.382, -0.410, 200.000, 0.000, 2.520, 1, 0 
267436, 327492123, 0.083, 1.112, 3.575, 46.410, 4.130, -0.372, -0.356, 200.000, 0.000, 2.521, 1, 0 
267436, 328497317, 0.087, 1.158, 3.696, 46.994, 4.576, -0.374, -0.153, 200.000, 0.000, 2.522, 1, 0 
267436, 329611220, 0.093, 1.206, 3.856, 47.560, 5.162, -0.371, -0.397, 200.000, 0.000, 2.523, 1, 0 
267436, 330714124, 0.098, 1.254, 3.900, 48.109, 4.171, -0.355, -0.573, 200.000, 0.000, 2.524, 1, 0 
267436, 331823140, 0.103, 1.302, 4.203, 48.642, 5.185, -0.337, -0.424, 200.000, 0.000, 2.525, 1, 0 
267436, 332923298, 0.108, 1.351, 4.100, 49.158, 4.181, -0.356, -0.397, 200.000, 0.000, 2.526, 1, 0 
267436, 334019993, 0.114, 1.400, 4.411, 49.658, 5.243, -0.355, -0.207, 200.000, 0.000, 2.527, 1, 0 
267436, 335091169, 0.120, 1.450, 4.425, 50.143, 5.368, -0.378, -0.343, 200.000, 0.000, 2.528, 1, 0 
267436, 336177132, 0.125, 1.501, 4.629, 50.614, 5.295, -0.345, -0.139, 200.000, 0.000, 2.529, 1, 0 
267436, 337182607, 0.131, 1.551, 4.787, 51.070, 5.719, -0.366, -0.397, 200.000, 0.000, 2.530, 1, 0 
267436, 338229726, 0.137, 1.603, 4.880, 51.511, 5.491, -0.376, -0.777, 200.000, 0.000, 2.531, 1, 0 
267436, 339272697, 0.144, 1.654, 5.152, 51.940, 6.616, -0.344, -0.410, 200.000, 0.000, 2.531, 1, 0 
267436, 340319155, 0.149, 1.707, 5.131, 52.354, 5.495, -0.420, -0.546, 200.000, 0.000, 2.532, 1, 0 
267436, 341370336, 0.156, 1.759, 5.383, 52.756, 6.564, -0.420, -0.532, 200.000, 0.000, 2.533, 1, 0 
267436, 342416399, 0.162, 1.812, 5.409, 53.146, 5.497, -0.413, -0.492, 200.000, 0.000, 2.534, 1, 0 
