Thu Nov 22 15:22:15 2018
StepTime, x, v, f, xdes, vdes, fdes, cmd, IR, LSB, LSF
5858513, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2768300, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2695230, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2798076, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2972596, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3031135, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2858692, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2751914, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3053063, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2766722, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
5858513, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2846322, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2841245, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3150982, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3178514, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2856274, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2712074, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2675889, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2603960, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2721259, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
5858513, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2680582, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2709568, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2702559, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2702691, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2707107, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2708427, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2703142, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2718746, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2694268, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
5858513, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2690555, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2709144, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3033741, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3185251, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2724884, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2754644, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3064155, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3572501, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2997564, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
5858513, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2641970, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2678385, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2732327, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2977645, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2736111, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2757636, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2734284, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2723092, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2829919, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
5858513, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2849583, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2994641, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3042917, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2779191, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2743251, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2744923, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2740193, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2839302, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2760635, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
5858513, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2771330, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2838374, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3090050, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3383855, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3006411, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3050120, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3546305, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3329480, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3287567, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
5858513, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3262617, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3112101, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3447291, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3663563, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3242859, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3187980, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3777769, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3307516, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3139870, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
5858513, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3239631, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2980374, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3511072, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3468528, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3274493, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3152480, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3811138, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3525351, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3275620, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
5858513, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3437296, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3372407, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3710603, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3254271, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3236466, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3216115, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3341694, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3248347, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3268386, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
5858513, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3631422, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3735894, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3409077, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3418794, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3155558, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3758143, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3983918, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3320528, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3278387, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
5858513, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
4364640, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3845677, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3413209, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3037597, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3161302, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3527700, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3364187, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3430397, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3579431, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
5858513, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3712895, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3188652, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3149920, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3241890, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
2975023, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3160424, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3190910, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3393157, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3720430, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
5858513, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3953743, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3211255, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3126424, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3203777, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3178167, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3069654, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3089172, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3543771, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3372230, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
5858513, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3716716, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3333362, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3249049, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3228103, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3179687, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3202645, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3425239, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3657334, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3190549, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
5858513, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3584214, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3219942, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3078957, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3225552, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3219591, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3297024, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3846547, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
3404429, 0.00, 0.00, -10.58, 100.00, 0.00, 0.00, 3.35, 0.00, -10, 0, 0
