Thu Nov 29 12:20:53 2018
Controller Frequency: 1.50 kHz
Time(s), Time(ns), x, v, f, xdes, vdes, cmd, LSB, LSF
156394, 850811292, 0.001, 0.000, 433.916, 0.250, 0.000, 2.300, 0, 0 
156394, 852325751, 0.001, 0.000, 433.916, 0.250, 0.000, 2.300, 0, 0 
156394, 853946225, 0.002, 0.710, 433.916, 0.250, 0.000, 2.300, 0, 0 
156394, 855556726, 0.002, 0.000, 433.916, 0.250, 0.000, 2.300, 0, 0 
156394, 857175875, 0.002, 0.000, 433.916, 0.250, 0.000, 2.300, 0, 0 
156394, 858784269, 0.002, 0.000, 433.916, 0.250, 0.000, 2.300, 0, 0 
156394, 860380248, 0.003, 0.721, 433.916, 0.250, 0.000, 2.301, 0, 0 
156394, 861892104, 0.003, 0.000, 433.916, 0.250, 0.000, 2.301, 0, 0 
156394, 863398189, 0.003, 0.000, 433.916, 0.250, 0.000, 2.301, 0, 0 
156394, 865027497, 0.003, 0.000, 433.916, 0.250, 0.000, 2.301, 0, 0 
156394, 866618857, 0.005, 0.723, 433.916, 0.250, 0.000, 2.301, 0, 0 
156394, 868123329, 0.005, 0.000, 433.916, 0.250, 0.000, 2.301, 0, 0 
156394, 869703125, 0.005, 0.000, 433.916, 0.250, 0.000, 2.301, 0, 0 
156394, 871290797, 0.005, 0.000, 433.916, 0.250, 0.000, 2.301, 0, 0 
156394, 872871235, 0.005, 0.000, 433.916, 0.250, 0.000, 2.301, 0, 0 
156394, 874455714, 0.005, 0.000, 433.916, 0.250, 0.000, 2.301, 0, 0 
156394, 875962382, 0.006, 0.763, 433.916, 0.250, 0.000, 2.301, 0, 0 
156394, 877472234, 0.006, 0.000, 433.916, 0.250, 0.000, 2.301, 0, 0 
156394, 879018802, 0.007, 0.744, 433.916, 0.250, 0.000, 2.301, 0, 0 
156394, 880573638, 0.008, 0.740, 433.916, 0.250, 0.000, 2.302, 0, 0 
156394, 882151430, 0.008, 0.000, 433.916, 0.250, 0.000, 2.302, 0, 0 
156394, 883694306, 0.009, 0.745, 433.916, 0.250, 0.000, 2.302, 0, 0 
156394, 885230935, 0.010, 0.748, 433.916, 0.250, 0.000, 2.302, 0, 0 
156394, 886771846, 0.011, 0.746, 433.916, 0.250, 0.000, 2.302, 0, 0 
156394, 888305530, 0.011, 0.000, 433.916, 0.250, 0.000, 2.302, 0, 0 
156394, 889848673, 0.011, 0.000, 433.916, 0.250, 0.000, 2.302, 0, 0 
156394, 891387852, 0.011, 0.000, 433.916, 0.250, 0.000, 2.302, 0, 0 
156394, 892927933, 0.011, 0.000, 433.916, 0.250, 0.000, 2.302, 0, 0 
156394, 894467342, 0.011, 0.000, 433.916, 0.250, 0.000, 2.302, 0, 0 
156394, 896010101, 0.013, 0.745, 433.916, 0.250, 0.000, 2.303, 0, 0 
156394, 897564081, 0.014, 0.740, 433.916, 0.250, 0.000, 2.303, 0, 0 
156394, 899103577, 0.015, 0.747, 433.916, 0.250, 0.000, 2.303, 0, 0 
156394, 900643337, 0.016, 0.747, 433.916, 0.250, 0.000, 2.303, 0, 0 
156394, 902184092, 0.016, 0.000, 433.916, 0.250, 0.000, 2.303, 0, 0 
156394, 903723147, 0.017, 0.747, 433.916, 0.250, 0.000, 2.303, 0, 0 
156394, 905262736, 0.018, 0.747, 433.916, 0.250, 0.000, 2.304, 0, 0 
156394, 906805933, 0.018, 0.000, 433.916, 0.250, 0.000, 2.304, 0, 0 
156394, 908338741, 0.018, 0.000, 433.916, 0.250, 0.000, 2.304, 0, 0 
156394, 909842776, 0.018, 0.000, 433.916, 0.250, 0.000, 2.304, 0, 0 
156394, 911347979, 0.020, 0.764, 433.916, 0.250, 0.000, 2.304, 0, 0 
156394, 912945367, 0.020, 0.000, 433.916, 0.250, 0.000, 2.304, 0, 0 
156394, 914484934, 0.021, 0.747, 433.916, 0.250, 0.000, 2.304, 0, 0 
156394, 916058367, 0.021, 0.000, 433.916, 0.250, 0.000, 2.304, 0, 0 
156394, 917587034, 0.021, 0.000, 433.916, 0.250, 0.000, 2.304, 0, 0 
156394, 919117095, 0.022, 0.752, 433.916, 0.250, 0.000, 2.304, 0, 0 
156394, 920653746, 0.023, 0.748, 433.916, 0.250, 0.000, 2.305, 0, 0 
156394, 922183212, 0.023, 0.000, 433.916, 0.250, 0.000, 2.305, 0, 0 
156394, 923715880, 0.024, 0.750, 433.916, 0.250, 0.000, 2.305, 0, 0 
156394, 925253385, 0.024, 0.000, 433.916, 0.250, 0.000, 2.305, 0, 0 
156394, 926781760, 0.025, 0.752, 433.916, 0.250, 0.000, 2.305, 0, 0 
156394, 928328338, 0.025, 0.000, 433.916, 0.250, 0.000, 2.305, 0, 0 
156394, 929870157, 0.025, 0.000, 433.916, 0.250, 0.000, 2.305, 0, 0 
156394, 931409878, 0.026, 0.747, 433.916, 0.250, 0.000, 2.305, 0, 0 
156394, 932913044, 0.026, 0.000, 433.916, 0.250, 0.000, 2.305, 0, 0 
156394, 934416696, 0.028, 0.765, 433.916, 0.250, 0.000, 2.306, 0, 0 
156394, 935920136, 0.028, 0.000, 433.916, 0.250, 0.000, 2.306, 0, 0 
156394, 937459733, 0.029, 0.747, 433.916, 0.250, 0.000, 2.306, 0, 0 
156394, 939000868, 0.029, 0.000, 433.916, 0.250, 0.000, 2.306, 0, 0 
156394, 940533806, 0.030, 0.750, 433.916, 0.250, 0.000, 2.306, 0, 0 
156394, 942076396, 0.030, 0.000, 433.916, 0.250, 0.000, 2.306, 0, 0 
156394, 943633324, 0.031, 0.739, 433.916, 0.250, 0.000, 2.306, 0, 0 
156394, 945175674, 0.031, 0.000, 433.916, 0.250, 0.000, 2.306, 0, 0 
156394, 946713537, 0.031, 0.000, 433.916, 0.250, 0.000, 2.306, 0, 0 
156394, 948229911, 0.032, 0.758, 433.916, 0.250, 0.000, 2.306, 0, 0 
156394, 949837781, 0.032, 0.000, 433.916, 0.250, 0.000, 2.306, 0, 0 
156394, 951455530, 0.032, 0.000, 433.916, 0.250, 0.000, 2.306, 0, 0 
156394, 953051468, 0.033, 0.721, 433.916, 0.250, 0.000, 2.307, 0, 0 
156394, 954639807, 0.033, 0.000, 433.916, 0.250, 0.000, 2.307, 0, 0 
156394, 956143502, 0.034, 0.765, 433.916, 0.250, 0.000, 2.307, 0, 0 
156394, 957744767, 0.036, 0.718, 433.916, 0.250, 0.000, 2.307, 0, 0 
156394, 959362384, 0.036, 0.000, 433.916, 0.250, 0.000, 2.307, 0, 0 
156394, 960966279, 0.037, 0.717, 433.916, 0.250, 0.000, 2.307, 0, 0 
156394, 962471584, 0.038, 0.764, 433.916, 0.250, 0.000, 2.308, 0, 0 
156394, 964134275, 0.039, 0.692, 433.916, 0.250, 0.000, 2.308, 0, 0 
156394, 965665554, 0.039, 0.000, 433.916, 0.250, 0.000, 2.308, 0, 0 
156394, 967301558, 0.039, 0.000, 433.916, 0.250, 0.000, 2.308, 0, 0 
156394, 968841589, 0.039, 0.000, 433.916, 0.250, 0.000, 2.308, 0, 0 
156394, 970434161, 0.039, 0.000, 433.916, 0.250, 0.000, 2.308, 0, 0 
156394, 972041911, 0.039, 0.000, 433.916, 0.250, 0.000, 2.308, 0, 0 
156394, 973645385, 0.040, 0.717, 433.916, 0.250, 0.000, 2.308, 0, 0 
156394, 975264002, 0.041, 0.710, 433.916, 0.250, 0.000, 2.308, 0, 0 
156394, 976868008, 0.041, 0.000, 433.916, 0.250, 0.000, 2.308, 0, 0 
156394, 978474018, 0.041, 0.000, 433.916, 0.250, 0.000, 2.308, 0, 0 
156394, 979985845, 0.041, 0.000, 433.916, 0.250, 0.000, 2.308, 0, 0 
156394, 981555740, 0.041, 0.000, 433.916, 0.250, 0.000, 2.308, 0, 0 
156394, 983185326, 0.043, 0.706, 433.916, 0.250, 0.000, 2.309, 0, 0 
156394, 984875862, 0.043, 0.000, 433.916, 0.250, 0.000, 2.309, 0, 0 
156394, 986380162, 0.043, 0.000, 433.916, 0.250, 0.000, 2.309, 0, 0 
156394, 987883878, 0.043, 0.000, 433.916, 0.250, 0.000, 2.309, 0, 0 
156394, 989489708, 0.044, 0.716, 433.916, 0.250, 0.000, 2.309, 0, 0 
156394, 991106399, 0.045, 0.711, 433.916, 0.250, 0.000, 2.309, 0, 0 
156394, 992611589, 0.046, 0.764, 433.916, 0.250, 0.000, 2.309, 0, 0 
156394, 994211252, 0.046, 0.000, 433.916, 0.250, 0.000, 2.309, 0, 0 
156394, 995750712, 0.046, 0.000, 433.916, 0.250, 0.000, 2.309, 0, 0 
156394, 997363119, 0.047, 0.713, 433.916, 0.250, 0.000, 2.309, 0, 0 
156394, 998866960, 0.048, 0.765, 433.916, 0.250, 0.000, 2.310, 0, 0 
156395, 372107, 0.049, 0.001, 433.916, 0.250, 0.000, 2.310, 0, 0 
156395, 1945604, 0.051, 0.731, 433.916, 0.250, 0.000, 2.310, 0, 0 
156395, 3572826, 0.052, 0.707, 433.916, 0.250, 0.000, 2.310, 0, 0 
156395, 5150608, 0.052, 0.000, 433.916, 0.250, 0.000, 2.310, 0, 0 
156395, 6741455, 0.052, 0.000, 433.916, 0.250, 0.000, 2.310, 0, 0 
156395, 8248199, 0.053, 0.763, 433.916, 0.250, 0.000, 2.311, 0, 0 
156395, 9843645, 0.054, 0.721, 433.916, 0.250, 0.000, 2.311, 0, 0 
156395, 11431362, 0.054, 0.000, 433.916, 0.250, 0.000, 2.311, 0, 0 
156395, 12937189, 0.054, 0.000, 433.916, 0.250, 0.000, 2.311, 0, 0 
156395, 14545733, 0.055, 0.715, 433.916, 0.250, 0.000, 2.311, 0, 0 
156395, 16125440, 0.055, 0.000, 433.916, 0.250, 0.000, 2.311, 0, 0 
156395, 17699326, 0.055, 0.000, 433.916, 0.250, 0.000, 2.311, 0, 0 
156395, 19283357, 0.055, 0.000, 433.916, 0.250, 0.000, 2.311, 0, 0 
156395, 20869981, 0.056, 0.725, 433.916, 0.250, 0.000, 2.311, 0, 0 
156395, 22468821, 0.057, 0.719, 433.916, 0.250, 0.000, 2.312, 0, 0 
156395, 24051612, 0.059, 0.727, 433.916, 0.250, 0.000, 2.312, 0, 0 
156395, 25619801, 0.060, 0.733, 433.916, 0.250, 0.000, 2.312, 0, 0 
156395, 27207320, 0.061, 0.724, 433.916, 0.250, 0.000, 2.312, 0, 0 
156395, 28779884, 0.062, 0.731, 433.916, 0.250, 0.000, 2.312, 0, 0 
156395, 30313121, 0.062, 0.000, 433.916, 0.250, 0.000, 2.312, 0, 0 
156395, 31824467, 0.062, 0.000, 433.916, 0.250, 0.000, 2.312, 0, 0 
156395, 33380013, 0.062, 0.000, 433.916, 0.250, 0.000, 2.312, 0, 0 
