Subject ID: 0
Mon Jun 24 14:04:26 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, Fa, xdes, vdes, cmd, LSB, LSF
2936256, 367049981, 248.555, 248.492, 0.000, -9.512, 0.000, 13.106, 13.043, 0.000, 248.422, -3.066, 2.697, 0, 1 
2936256, 368068889, 248.555, 248.485, 0.000, -9.721, 0.000, 13.046, 12.507, 0.000, 248.419, -3.067, 2.710, 0, 1 
2936256, 369079883, 248.555, 248.478, 0.000, -9.928, 0.000, 13.040, 12.602, 0.000, 248.416, -3.069, 2.724, 0, 1 
2936256, 370093256, 248.555, 248.472, 0.000, -10.133, 0.000, 13.018, 12.791, 0.000, 248.413, -3.070, 2.737, 0, 1 
2936256, 371110693, 248.555, 248.464, 0.000, -10.335, 0.000, 12.974, 12.728, 0.000, 248.410, -3.072, 2.752, 0, 1 
2936256, 372120388, 248.555, 248.457, 0.000, -10.536, 0.000, 12.986, 12.791, 0.000, 248.406, -3.073, 2.767, 0, 1 
2936256, 373141822, 248.555, 248.449, 0.000, -10.735, 0.000, 12.958, 12.949, 0.000, 248.403, -3.075, 2.782, 0, 1 
2936256, 374154169, 248.555, 248.442, 0.000, -10.930, 0.000, 12.822, 13.043, 0.000, 248.400, -3.076, 2.797, 0, 1 
2936256, 375166149, 248.555, 248.434, 0.000, -11.123, 0.000, 12.848, 13.138, 0.000, 248.397, -3.078, 2.813, 0, 1 
2936256, 376232305, 248.555, 248.426, 0.000, -11.315, 0.000, 12.819, 12.791, 0.000, 248.394, -3.079, 2.820, 0, 1 
2936256, 377245127, 248.555, 248.417, 0.000, -11.504, 0.000, 12.781, 12.223, 0.000, 248.391, -3.081, 2.820, 0, 1 
2936256, 378282429, 248.555, 248.409, 0.000, -11.693, 0.000, 12.857, 13.233, 0.000, 248.388, -3.083, 2.820, 0, 1 
2936256, 379296331, 248.555, 248.400, 0.000, -11.878, 0.000, 12.734, 12.286, 0.000, 248.385, -3.084, 2.820, 0, 1 
2936256, 380307492, 248.555, 248.391, 0.000, -12.064, 0.000, 12.860, 12.917, 0.000, 248.382, -3.086, 2.820, 0, 1 
2936256, 381320928, 248.555, 248.382, 0.000, -12.248, 0.000, 12.797, 12.791, 0.000, 248.379, -3.087, 2.820, 0, 1 
2936256, 382332608, 248.555, 248.373, 0.000, -12.431, 0.000, 12.841, 13.043, 0.000, 248.376, -3.089, 2.820, 0, 1 
2936256, 383345347, 248.555, 248.363, 0.000, -12.612, 0.000, 12.829, 12.917, 0.000, 248.373, -3.090, 2.820, 0, 1 
2936256, 384362675, 248.555, 248.354, 0.000, -12.792, 0.000, 12.860, 13.138, 0.000, 248.369, -3.092, 2.820, 0, 1 
2936256, 385378565, 248.555, 248.344, 0.000, -12.970, 0.000, 12.810, 12.759, 0.000, 248.366, -3.093, 2.820, 0, 1 
2936256, 386419554, 248.555, 248.334, 0.000, -13.146, 0.000, 12.813, 12.791, 0.000, 248.363, -3.095, 2.820, 0, 1 
2936256, 387479483, 248.555, 248.324, 0.000, -13.322, 0.000, 12.854, 13.233, 0.000, 248.360, -3.097, 2.820, 0, 1 
2936256, 388490252, 248.555, 248.314, 0.000, -13.498, 0.000, 12.904, 13.169, 0.000, 248.357, -3.098, 2.820, 0, 1 
2936256, 389502389, 248.555, 248.303, 0.000, -13.671, 0.000, 12.886, 12.980, 0.000, 248.354, -3.100, 2.820, 0, 1 
2936256, 390513816, 248.555, 248.292, 0.000, -13.845, 0.000, 12.964, 12.886, 0.000, 248.351, -3.101, 2.820, 0, 1 
2936256, 391526792, 248.555, 248.282, 0.000, -14.017, 0.000, 12.968, 12.854, 0.000, 248.348, -3.103, 2.820, 0, 1 
2936256, 392538636, 248.555, 248.271, 0.000, -14.190, 0.000, 13.056, 13.643, 0.000, 248.345, -3.104, 2.820, 0, 1 
2936256, 393550995, 248.555, 248.259, 0.000, -14.360, 0.000, 12.977, 13.043, 0.000, 248.342, -3.106, 2.820, 0, 1 
2936256, 394562042, 248.555, 248.248, 0.000, -14.529, 0.000, 13.002, 12.570, 0.000, 248.338, -3.107, 2.820, 0, 1 
2936256, 395574820, 248.555, 248.237, 0.000, -14.698, 0.000, 13.091, 13.548, 0.000, 248.335, -3.109, 2.820, 0, 1 
2936256, 396582356, 248.555, 248.225, 0.000, -14.864, 0.000, 13.005, 12.886, 0.000, 248.332, -3.111, 2.820, 0, 1 
2936256, 397592316, 248.555, 248.213, 0.000, -15.031, 0.000, 13.087, 12.949, 0.000, 248.329, -3.112, 2.820, 0, 1 
2936256, 398599154, 248.555, 248.201, 0.000, -15.196, 0.000, 13.075, 13.169, 0.000, 248.326, -3.114, 2.820, 0, 1 
2936256, 399607939, 248.555, 248.189, 0.000, -15.359, 0.000, 13.056, 13.201, 0.000, 248.323, -3.115, 2.820, 0, 1 
2936256, 400617875, 248.555, 248.177, 0.000, -15.521, 0.000, 13.053, 12.980, 0.000, 248.320, -3.117, 2.820, 0, 1 
2936256, 401626727, 248.555, 248.164, 0.000, -15.683, 0.000, 13.128, 13.422, 0.000, 248.317, -3.118, 2.820, 0, 1 
2936256, 402636084, 248.555, 248.151, 0.000, -15.843, 0.000, 13.100, 13.012, 0.000, 248.314, -3.120, 2.820, 0, 1 
2936256, 403670248, 248.555, 248.139, 0.000, -16.001, 0.000, 13.075, 12.980, 0.000, 248.310, -3.122, 2.820, 0, 1 
2936256, 404678497, 248.555, 248.126, 0.000, -16.159, 0.000, 13.110, 13.359, 0.000, 248.307, -3.123, 2.820, 0, 1 
2936256, 405686270, 248.555, 248.113, 0.000, -16.315, 0.000, 13.081, 12.665, 0.000, 248.304, -3.125, 2.820, 0, 1 
2936256, 406694087, 248.555, 248.099, 0.000, -16.469, 0.000, 13.091, 12.949, 0.000, 248.301, -3.126, 2.820, 0, 1 
2936256, 407700663, 248.555, 248.086, 0.000, -16.622, 0.000, 13.078, 13.043, 0.000, 248.298, -3.128, 2.820, 0, 1 
2936256, 408709790, 248.555, 248.072, 0.000, -16.775, 0.000, 13.091, 13.169, 0.000, 248.295, -3.129, 2.820, 0, 1 
2936256, 409724574, 248.555, 248.059, 0.000, -16.926, 0.000, 13.091, 13.296, 0.000, 248.292, -3.131, 2.820, 0, 1 
2936256, 411182009, 248.555, 248.045, 0.000, -17.075, 0.000, 13.069, 13.106, 0.000, 248.289, -3.133, 2.820, 0, 1 
2936256, 412284443, 248.555, 248.031, 0.000, -17.223, 0.000, 13.069, 12.791, 0.000, 248.285, -3.134, 2.820, 0, 1 
2936256, 413292567, 248.555, 248.017, 0.000, -17.371, 0.000, 13.147, 13.895, 0.000, 248.282, -3.136, 2.820, 0, 1 
2936256, 414301226, 248.555, 248.002, 0.000, -17.516, 0.000, 13.027, 12.917, 0.000, 248.279, -3.137, 2.820, 0, 1 
2936256, 415309502, 248.555, 247.988, 0.000, -17.661, 0.000, 13.125, 12.980, 0.000, 248.276, -3.139, 2.820, 0, 1 
2936256, 416315742, 248.555, 247.973, 0.000, -17.804, 0.000, 13.059, 12.759, 0.000, 248.273, -3.140, 2.820, 0, 1 
2936256, 417322765, 248.555, 247.959, 0.000, -17.947, 0.000, 13.081, 12.665, 0.000, 248.270, -3.142, 2.820, 0, 1 
2936256, 418329473, 248.555, 247.944, 0.000, -18.088, 0.000, 13.106, 13.106, 0.000, 248.267, -3.144, 2.820, 0, 1 
2936256, 419335824, 248.555, 247.929, 0.000, -18.227, 0.000, 13.053, 12.949, 0.000, 248.263, -3.145, 2.820, 0, 1 
2936256, 420342948, 248.555, 247.913, 0.000, -18.366, 0.000, 13.056, 13.043, 0.000, 248.260, -3.147, 2.820, 0, 1 
2936256, 421349849, 248.555, 247.898, 0.000, -18.503, 0.000, 13.050, 13.327, 0.000, 248.257, -3.148, 2.820, 0, 1 
2936256, 422358078, 248.555, 247.883, 0.000, -18.638, 0.000, 13.002, 12.917, 0.000, 248.254, -3.150, 2.820, 0, 1 
2936256, 423367203, 248.555, 247.867, 0.000, -18.773, 0.000, 13.065, 13.012, 0.000, 248.251, -3.152, 2.820, 0, 1 
2936256, 424374866, 248.555, 247.852, 0.000, -18.905, 0.000, 12.971, 13.043, 0.000, 248.248, -3.153, 2.820, 0, 1 
2936256, 425380912, 248.555, 247.836, 0.000, -19.036, 0.000, 12.977, 13.012, 0.000, 248.245, -3.155, 2.820, 0, 1 
2936256, 426386618, 248.555, 247.820, 0.000, -19.167, 0.000, 13.037, 13.548, 0.000, 248.241, -3.156, 2.820, 0, 1 
2936256, 427392733, 248.555, 247.804, 0.000, -19.296, 0.000, 13.005, 12.980, 0.000, 248.238, -3.158, 2.820, 0, 1 
2936256, 428398882, 248.555, 247.788, 0.000, -19.426, 0.000, 13.069, 12.728, 0.000, 248.235, -3.159, 2.820, 0, 1 
2936256, 429406622, 248.555, 247.771, 0.000, -19.552, 0.000, 12.974, 11.908, 0.000, 248.232, -3.161, 2.820, 0, 1 
2936256, 430421215, 248.555, 247.755, 0.000, -19.680, 0.000, 13.106, 13.453, 0.000, 248.229, -3.163, 2.820, 0, 1 
2936256, 431428912, 248.555, 247.738, 0.000, -19.804, 0.000, 12.920, 12.728, 0.000, 248.226, -3.164, 2.820, 0, 1 
2936256, 432440597, 248.555, 247.721, 0.000, -19.927, 0.000, 12.964, 13.043, 0.000, 248.222, -3.166, 2.820, 0, 1 
2936256, 433453263, 248.555, 247.705, 0.000, -20.049, 0.000, 12.933, 12.917, 0.000, 248.219, -3.167, 2.820, 0, 1 
2936256, 434458832, 248.555, 247.688, 0.000, -20.170, 0.000, 12.955, 13.106, 0.000, 248.216, -3.169, 2.820, 0, 1 
2936256, 435464151, 248.555, 247.671, 0.000, -20.289, 0.000, 12.911, 12.791, 0.000, 248.213, -3.171, 2.820, 0, 1 
2936256, 436471815, 248.555, 247.653, 0.000, -20.407, 0.000, 12.927, 12.854, 0.000, 248.210, -3.172, 2.820, 0, 1 
2936256, 437477543, 248.555, 247.636, 0.000, -20.522, 0.000, 12.832, 12.665, 0.000, 248.207, -3.174, 2.820, 0, 1 
2936256, 438482804, 248.555, 247.619, 0.000, -20.635, 0.000, 12.721, 11.687, 0.000, 248.203, -3.175, 2.820, 0, 1 
2936256, 439489806, 248.555, 247.601, 0.000, -20.748, 0.000, 12.826, 12.791, 0.000, 248.200, -3.177, 2.820, 0, 1 
2936256, 440497325, 248.555, 247.584, 0.000, -20.861, 0.000, 12.826, 13.012, 0.000, 248.197, -3.179, 2.820, 0, 1 
2936256, 441538624, 248.555, 247.566, 0.000, -20.971, 0.000, 12.769, 13.106, 0.000, 248.194, -3.180, 2.820, 0, 1 
2936256, 442903437, 248.555, 247.548, 0.000, -21.081, 0.000, 12.807, 13.201, 0.000, 248.191, -3.182, 2.820, 0, 1 
2936256, 443923996, 248.555, 247.530, 0.000, -21.189, 0.000, 12.703, 12.097, 0.000, 248.187, -3.183, 2.820, 0, 1 
2936256, 444929536, 248.555, 247.512, 0.000, -21.297, 0.000, 12.800, 12.791, 0.000, 248.184, -3.185, 2.820, 0, 1 
2936256, 445935042, 248.555, 247.494, 0.000, -21.402, 0.000, 12.699, 12.791, 0.000, 248.181, -3.187, 2.820, 0, 1 
2936256, 446941214, 248.555, 247.476, 0.000, -21.504, 0.000, 12.570, 11.497, 0.000, 248.178, -3.188, 2.820, 0, 1 
2936256, 447947541, 248.555, 247.457, 0.000, -21.608, 0.000, 12.715, 13.012, 0.000, 248.175, -3.190, 2.820, 0, 1 
2936256, 448955378, 248.555, 247.439, 0.000, -21.708, 0.000, 12.595, 12.980, 0.000, 248.172, -3.191, 2.820, 0, 1 
2936256, 449961275, 248.555, 247.420, 0.000, -21.811, 0.000, 12.725, 12.949, 0.000, 248.168, -3.193, 2.820, 0, 1 
2936256, 450968061, 248.555, 247.402, 0.000, -21.912, 0.000, 12.725, 12.759, 0.000, 248.165, -3.195, 2.820, 0, 1 
2936256, 451974079, 248.555, 247.383, 0.000, -22.013, 0.000, 12.734, 12.917, 0.000, 248.162, -3.196, 2.820, 0, 1 
2936256, 452980418, 248.555, 247.364, 0.000, -22.112, 0.000, 12.693, 12.854, 0.000, 248.159, -3.198, 2.820, 0, 1 
2936256, 453986867, 248.555, 247.345, 0.000, -22.210, 0.000, 12.690, 13.106, 0.000, 248.156, -3.199, 2.820, 0, 1 
2936256, 454993851, 248.555, 247.326, 0.000, -22.307, 0.000, 12.687, 12.318, 0.000, 248.152, -3.201, 2.820, 0, 1 
2936256, 456007446, 248.555, 247.307, 0.000, -22.405, 0.000, 12.756, 12.696, 0.000, 248.149, -3.203, 2.820, 0, 1 
2936256, 457014173, 248.555, 247.287, 0.000, -22.501, 0.000, 12.737, 12.980, 0.000, 248.146, -3.204, 2.820, 0, 1 
2936256, 458021129, 248.555, 247.268, 0.000, -22.599, 0.000, 12.867, 13.075, 0.000, 248.143, -3.206, 2.820, 0, 1 
