Thu Nov 22 15:49:00 2018
StepTime, x, v, f, xdes, vdes, fdes, cmd, IR, LSB, LSF
0, 5906357,0.00, 100.00, 0.00, 102.35, 0, 0, 0
1, 2778304,0.00, 100.00, 0.00, 102.35, 0, 0, 0
2, 2733959,0.00, 100.00, 0.00, 102.35, 0, 0, 0
3, 2752697,0.00, 100.00, 0.00, 102.35, 0, 0, 0
4, 2879980,0.00, 100.00, 0.00, 102.35, 0, 0, 0
5, 2697600,0.00, 100.00, 0.00, 102.35, 0, 0, 0
6, 2870491,0.00, 100.00, 0.00, 102.35, 0, 0, 0
7, 2783489,0.00, 100.00, 0.00, 102.35, 0, 0, 0
8, 2745419,0.00, 100.00, 0.00, 102.35, 0, 0, 0
9, 3009039,0.00, 100.00, 0.00, 102.35, 0, 0, 0
0, 5906357,0.00, 100.00, 0.00, 102.35, 0, 0, 0
1, 2771637,0.00, 100.00, 0.00, 102.35, 0, 0, 0
2, 3350270,0.00, 100.00, 0.00, 102.35, 0, 0, 0
3, 2743764,0.00, 100.00, 0.00, 102.35, 0, 0, 0
4, 2588764,0.00, 100.00, 0.00, 102.35, 0, 0, 0
5, 2834057,0.00, 100.00, 0.00, 102.35, 0, 0, 0
6, 2744134,0.00, 100.00, 0.00, 102.35, 0, 0, 0
7, 2730915,0.00, 100.00, 0.00, 102.35, 0, 0, 0
8, 2675549,0.00, 100.00, 0.00, 102.35, 0, 0, 0
9, 2702954,0.00, 100.00, 0.00, 102.35, 0, 0, 0
0, 5906357,0.00, 100.00, 0.00, 102.35, 0, 0, 0
1, 2703847,0.00, 100.00, 0.00, 102.35, 0, 0, 0
2, 2671876,0.00, 100.00, 0.00, 102.35, 0, 0, 0
3, 2730365,0.00, 100.00, 0.00, 102.35, 0, 0, 0
4, 2708066,0.00, 100.00, 0.00, 102.35, 0, 0, 0
5, 2702570,0.00, 100.00, 0.00, 102.35, 0, 0, 0
6, 2708429,0.00, 100.00, 0.00, 102.35, 0, 0, 0
7, 2700864,0.00, 100.00, 0.00, 102.35, 0, 0, 0
8, 2708139,0.00, 100.00, 0.00, 102.35, 0, 0, 0
9, 2691716,0.00, 100.00, 0.00, 102.35, 0, 0, 0
0, 5906357,0.00, 100.00, 0.00, 102.35, 0, 0, 0
1, 2737493,0.00, 100.00, 0.00, 102.35, 0, 0, 0
2, 2700677,0.00, 100.00, 0.00, 102.35, 0, 0, 0
3, 2934064,0.00, 100.00, 0.00, 102.35, 0, 0, 0
4, 3170219,0.00, 100.00, 0.00, 102.35, 0, 0, 0
5, 2700584,0.00, 100.00, 0.00, 102.35, 0, 0, 0
6, 2932047,0.00, 100.00, 0.00, 102.35, 0, 0, 0
7, 3266782,0.00, 100.00, 0.00, 102.35, 0, 0, 0
8, 2839876,0.00, 100.00, 0.00, 102.35, 0, 0, 0
9, 2736926,0.00, 100.00, 0.00, 102.35, 0, 0, 0
0, 5906357,0.00, 100.00, 0.00, 102.35, 0, 0, 0
1, 2836163,0.00, 100.00, 0.00, 102.35, 0, 0, 0
2, 2906913,0.00, 100.00, 0.00, 102.35, 0, 0, 0
3, 3189220,0.00, 100.00, 0.00, 102.35, 0, 0, 0
4, 2826093,0.00, 100.00, 0.00, 102.35, 0, 0, 0
5, 2842238,0.00, 100.00, 0.00, 102.35, 0, 0, 0
6, 2831887,0.00, 100.00, 0.00, 102.35, 0, 0, 0
7, 3088432,0.00, 100.00, 0.00, 102.35, 0, 0, 0
8, 3313967,0.00, 100.00, 0.00, 102.35, 0, 0, 0
