Thu Nov 29 12:04:26 2018
Controller Frequency: 1.50 kHz
Time(s), Time(ns), x, v, f, xdes, vdes, cmd, LSB, LSF
155407, 483165518, 0.000, 0.000, -454.981, 0.250, 0.000, 2.300, 0, 0 
155407, 484681035, 0.000, 0.000, -454.967, 0.250, 0.000, 2.300, 0, 0 
155407, 486286004, 0.000, 0.000, -454.981, 0.250, 0.000, 2.300, 0, 0 
155407, 487844325, 0.000, 0.000, -454.981, 0.250, 0.000, 2.300, 0, 0 
155407, 489365625, 0.001, 0.756, -454.967, 0.250, 0.000, 2.300, 0, 0 
155407, 490889149, 0.002, 0.755, -454.981, 0.250, 0.000, 2.300, 0, 0 
155407, 492407781, 0.002, 0.000, -454.981, 0.250, 0.000, 2.300, 0, 0 
155407, 493925792, 0.003, 0.758, -454.981, 0.250, 0.000, 2.301, 0, 0 
155407, 495444385, 0.005, 0.757, -454.967, 0.250, 0.000, 2.301, 0, 0 
155407, 496955022, 0.005, 0.000, -454.967, 0.250, 0.000, 2.301, 0, 0 
155407, 498523506, 0.005, 0.000, -454.981, 0.250, 0.000, 2.301, 0, 0 
155407, 500038542, 0.006, 0.759, -454.994, 0.250, 0.000, 2.301, 0, 0 
155407, 501556363, 0.007, 0.758, -454.967, 0.250, 0.000, 2.301, 0, 0 
155407, 503090671, 0.008, 0.750, -454.981, 0.250, 0.000, 2.302, 0, 0 
155407, 504620771, 0.009, 0.752, -454.981, 0.250, 0.000, 2.302, 0, 0 
155407, 506144084, 0.010, 0.755, -454.981, 0.250, 0.000, 2.302, 0, 0 
155407, 507662793, 0.011, 0.757, -454.981, 0.250, 0.000, 2.302, 0, 0 
155407, 509216983, 0.013, 0.740, -454.981, 0.250, 0.000, 2.303, 0, 0 
155407, 510794017, 0.014, 0.729, -454.967, 0.250, 0.000, 2.303, 0, 0 
155407, 512315173, 0.015, 0.756, -454.967, 0.250, 0.000, 2.303, 0, 0 
155407, 513887519, 0.015, 0.000, -454.981, 0.250, 0.000, 2.303, 0, 0 
155407, 515404349, 0.016, 0.758, -454.981, 0.250, 0.000, 2.303, 0, 0 
155407, 516921478, 0.016, 0.000, -454.967, 0.250, 0.000, 2.303, 0, 0 
155407, 518438047, 0.016, 0.000, -454.967, 0.250, 0.000, 2.303, 0, 0 
155407, 519957710, 0.016, 0.000, -454.994, 0.250, 0.000, 2.303, 0, 0 
155407, 521474438, 0.017, 0.758, -454.981, 0.250, 0.000, 2.303, 0, 0 
155407, 522990673, 0.018, 0.758, -454.981, 0.250, 0.000, 2.304, 0, 0 
155407, 524505806, 0.020, 0.759, -454.967, 0.250, 0.000, 2.304, 0, 0 
155407, 526015483, 0.021, 0.762, -454.981, 0.250, 0.000, 2.304, 0, 0 
155407, 527526460, 0.022, 0.761, -454.981, 0.250, 0.000, 2.304, 0, 0 
155407, 529084400, 0.022, 0.000, -454.994, 0.250, 0.000, 2.304, 0, 0 
155407, 530592696, 0.022, 0.000, -454.967, 0.250, 0.000, 2.304, 0, 0 
155407, 532099662, 0.022, 0.000, -454.981, 0.250, 0.000, 2.304, 0, 0 
155407, 533606702, 0.022, 0.000, -454.994, 0.250, 0.000, 2.304, 0, 0 
155407, 535195260, 0.022, 0.000, -454.967, 0.250, 0.000, 2.304, 0, 0 
155407, 536700635, 0.023, 0.764, -454.981, 0.250, 0.000, 2.305, 0, 0 
155407, 538223543, 0.024, 0.755, -454.981, 0.250, 0.000, 2.305, 0, 0 
155407, 539794862, 0.024, 0.000, -454.967, 0.250, 0.000, 2.305, 0, 0 
155407, 541300484, 0.024, 0.000, -454.967, 0.250, 0.000, 2.305, 0, 0 
155407, 542807386, 0.025, 0.763, -454.981, 0.250, 0.000, 2.305, 0, 0 
155407, 544333360, 0.025, 0.000, -454.967, 0.250, 0.000, 2.305, 0, 0 
155407, 545839390, 0.026, 0.764, -454.981, 0.250, 0.000, 2.305, 0, 0 
155407, 547344879, 0.028, 0.764, -454.981, 0.250, 0.000, 2.306, 0, 0 
155407, 548850697, 0.029, 0.764, -454.967, 0.250, 0.000, 2.306, 0, 0 
155407, 550356887, 0.030, 0.764, -454.981, 0.250, 0.000, 2.306, 0, 0 
155407, 551955521, 0.030, 0.000, -454.981, 0.250, 0.000, 2.306, 0, 0 
155407, 553494676, 0.030, 0.000, -454.981, 0.250, 0.000, 2.306, 0, 0 
155407, 555115287, 0.030, 0.000, -454.981, 0.250, 0.000, 2.306, 0, 0 
155407, 556720219, 0.031, 0.717, -454.967, 0.250, 0.000, 2.306, 0, 0 
155407, 558224182, 0.031, 0.000, -454.981, 0.250, 0.000, 2.306, 0, 0 
155407, 559735805, 0.032, 0.761, -454.967, 0.250, 0.000, 2.306, 0, 0 
155407, 561346508, 0.032, 0.000, -454.994, 0.250, 0.000, 2.306, 0, 0 
155407, 562955594, 0.032, 0.000, -454.967, 0.250, 0.000, 2.306, 0, 0 
155407, 564560165, 0.033, 0.717, -454.981, 0.250, 0.000, 2.307, 0, 0 
155407, 566168288, 0.033, 0.000, -454.981, 0.250, 0.000, 2.307, 0, 0 
155407, 567797451, 0.034, 0.706, -454.981, 0.250, 0.000, 2.307, 0, 0 
155407, 569418949, 0.034, 0.000, -454.967, 0.250, 0.000, 2.307, 0, 0 
155407, 571045544, 0.036, 0.707, -454.994, 0.250, 0.000, 2.307, 0, 0 
155407, 572551294, 0.037, 0.764, -454.967, 0.250, 0.000, 2.307, 0, 0 
155407, 574056234, 0.037, 0.000, -454.994, 0.250, 0.000, 2.307, 0, 0 
155407, 575566668, 0.038, 0.761, -454.967, 0.250, 0.000, 2.308, 0, 0 
155407, 577175812, 0.039, 0.715, -454.981, 0.250, 0.000, 2.308, 0, 0 
155407, 578785071, 0.040, 0.715, -454.994, 0.250, 0.000, 2.308, 0, 0 
155407, 580393624, 0.040, 0.000, -454.981, 0.250, 0.000, 2.308, 0, 0 
155407, 581996493, 0.041, 0.717, -454.994, 0.250, 0.000, 2.308, 0, 0 
155407, 583610359, 0.041, 0.000, -454.994, 0.250, 0.000, 2.308, 0, 0 
155407, 585231218, 0.043, 0.710, -454.981, 0.250, 0.000, 2.309, 0, 0 
155407, 586847816, 0.043, 0.000, -454.981, 0.250, 0.000, 2.309, 0, 0 
155407, 588360946, 0.044, 0.760, -454.967, 0.250, 0.000, 2.309, 0, 0 
155407, 589955325, 0.045, 0.721, -454.981, 0.250, 0.000, 2.309, 0, 0 
155407, 591568638, 0.046, 0.713, -454.981, 0.250, 0.000, 2.309, 0, 0 
155407, 593175690, 0.047, 0.716, -454.981, 0.250, 0.000, 2.309, 0, 0 
155407, 594784408, 0.048, 0.715, -454.981, 0.250, 0.000, 2.310, 0, 0 
155407, 596385524, 0.048, 0.000, -454.981, 0.250, 0.000, 2.310, 0, 0 
155407, 597983072, 0.049, 0.720, -454.967, 0.250, 0.000, 2.310, 0, 0 
155407, 599590266, 0.051, 0.716, -454.994, 0.250, 0.000, 2.310, 0, 0 
155407, 601197777, 0.052, 0.715, -454.967, 0.250, 0.000, 2.310, 0, 0 
155407, 602702144, 0.052, 0.000, -454.967, 0.250, 0.000, 2.310, 0, 0 
155407, 604210918, 0.053, 0.762, -454.981, 0.250, 0.000, 2.311, 0, 0 
155407, 605715800, 0.053, 0.000, -454.994, 0.250, 0.000, 2.311, 0, 0 
155407, 607235070, 0.054, 0.757, -454.967, 0.250, 0.000, 2.311, 0, 0 
155407, 608740916, 0.054, 0.000, -454.967, 0.250, 0.000, 2.311, 0, 0 
155407, 610245499, 0.055, 0.764, -454.981, 0.250, 0.000, 2.311, 0, 0 
155407, 611750424, 0.056, 0.764, -454.981, 0.250, 0.000, 2.311, 0, 0 
155407, 613255465, 0.057, 0.764, -454.967, 0.250, 0.000, 2.312, 0, 0 
155407, 614760444, 0.057, 0.000, -454.967, 0.250, 0.000, 2.312, 0, 0 
155407, 616267553, 0.059, 0.763, -454.981, 0.250, 0.000, 2.312, 0, 0 
155407, 617773687, 0.059, 0.000, -454.981, 0.250, 0.000, 2.312, 0, 0 
155407, 619279437, 0.060, 0.764, -454.994, 0.250, 0.000, 2.312, 0, 0 
155407, 620794223, 0.060, 0.000, -454.981, 0.250, 0.000, 2.312, 0, 0 
155407, 622322142, 0.060, 0.000, -454.967, 0.250, 0.000, 2.312, 0, 0 
155407, 623871401, 0.061, 0.742, -454.994, 0.250, 0.000, 2.312, 0, 0 
155407, 625454301, 0.062, 0.727, -454.967, 0.250, 0.000, 2.312, 0, 0 
155407, 627040513, 0.062, 0.000, -454.967, 0.250, 0.000, 2.312, 0, 0 
